UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,ADMCON10,ADMCON11,ADMCON12,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XAPPLCNAN,APPLCNAN,XAPPLCNUN,APPLCNUN,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XADMSSNAN,ADMSSNAN,XADMSSNUN,ADMSSNUN,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLAN,ENRLAN,XENRLUN,ENRLUN,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLFTAN,ENRLFTAN,XENRLFTUN,ENRLFTUN,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XENRLPTAN,ENRLPTAN,XENRLPTUN,ENRLPTUN,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR50,SATVR50,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT50,SATMT50,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM50,ACTCM50,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN50,ACTEN50,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT50,ACTMT50,XACTMT75,ACTMT75   
156286,1,5,1,1,1,3,5,1,3,5,5,3,R,3462,R,1300,R,2159,A,,R,3.0,R,3240.0,R,1218.0,R,2021.0,A,,R,1.0,R,632.0,R,241.0,R,391.0,A,,R,0.0,R,631.0,R,241.0,R,390.0,A,,R,0.0,R,1.0,R,0.0,R,1.0,A,,R,0.0,R,48.0,R,8.0,R,251.0,R,40.0,R,535.0,R,580.0,R,613.0,R,540.0,R,565.0,R,630.0,R,22.0,R,25.0,R,28.0,R,22.0,R,25.0,R,29.0,R,20.0,R,24.0,R,27.0
156295,1,1,1,5,1,3,5,1,3,5,5,3,R,2073,R,937,R,1136,S,,S,,R,678.0,R,272.0,R,406.0,S,,S,,R,413.0,R,177.0,R,236.0,S,,S,,R,413.0,R,177.0,R,236.0,S,,S,,A,,A,,A,,S,,S,,R,24.0,R,6.0,R,81.0,R,20.0,R,588.0,R,630.0,R,680.0,R,568.0,R,610.0,R,655.0,R,24.0,R,26.0,R,27.0,R,23.0,R,26.0,R,29.0,R,20.0,R,23.0,R,26.0
156356,1,3,3,3,3,3,3,1,3,3,3,3,R,2534,R,1112,R,1331,A,,R,91.0,R,877.0,R,302.0,R,564.0,A,,R,11.0,R,151.0,R,87.0,R,62.0,A,,R,2.0,R,148.0,R,87.0,R,60.0,A,,R,1.0,R,3.0,R,0.0,R,2.0,A,,R,1.0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
156365,1,3,1,5,3,5,3,1,3,3,3,3,R,1015,R,463,R,550,A,,R,2.0,R,998.0,R,458.0,R,538.0,A,,R,2.0,R,684.0,R,327.0,R,357.0,A,,R,0.0,R,649.0,R,319.0,R,330.0,A,,R,0.0,R,35.0,R,8.0,R,27.0,A,,R,0.0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
156408,1,5,1,1,1,3,5,1,3,5,1,5,R,3226,R,1594,R,1563,Z,0.0,R,69.0,R,1753.0,R,825.0,R,928.0,A,,R,0.0,R,361.0,R,176.0,R,185.0,A,,R,0.0,R,361.0,R,176.0,R,185.0,A,,R,0.0,A,,A,,A,,A,,A,,R,32.0,R,9.0,R,167.0,R,46.0,R,610.0,R,645.0,R,683.0,R,620.0,R,675.0,R,740.0,R,26.0,R,29.0,R,32.0,R,25.0,R,30.0,R,34.0,R,24.0,R,27.0,R,30.0
156541,1,5,1,3,5,3,3,1,3,3,5,3,R,4281,R,1619,R,2645,A,,R,17.0,R,3056.0,R,1180.0,R,1864.0,A,,R,12.0,R,645.0,R,323.0,R,322.0,A,,R,0.0,R,574.0,R,285.0,R,289.0,A,,R,0.0,R,71.0,R,38.0,R,33.0,A,,R,0.0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
156620,1,1,1,1,3,3,5,1,3,1,1,5,R,17082,R,6356,R,10726,A,,R,0.0,R,13340.0,R,4865.0,R,8475.0,A,,R,0.0,R,2782.0,R,1079.0,R,1703.0,A,,R,0.0,R,2601.0,R,1007.0,R,1594.0,A,,R,0.0,R,181.0,R,72.0,R,109.0,A,,R,0.0,R,78.0,R,3.0,R,2418.0,R,87.0,R,480.0,R,530.0,R,600.0,R,450.0,R,525.0,R,590.0,R,17.0,R,21.0,R,24.0,R,16.0,R,21.0,R,24.0,R,16.0,R,19.0,R,24.0
156745,1,3,5,5,5,3,1,1,3,3,5,3,R,1815,R,835,R,967,S,,S,,R,1341.0,R,612.0,R,722.0,S,,S,,R,307.0,R,177.0,R,130.0,S,,S,,R,307.0,R,177.0,R,130.0,S,,S,,R,0.0,R,0.0,R,0.0,S,,S,,R,9.0,R,3.0,R,136.0,R,44.0,P,520.0,P,580.0,P,610.0,P,510.0,P,550.0,P,620.0,R,21.0,R,23.0,R,26.0,R,20.0,R,23.0,R,26.0,R,20.0,R,22.0,R,26.0
157030,1,3,1,3,1,3,1,1,3,5,1,3,R,42,R,16,R,26,A,,R,0.0,R,15.0,R,7.0,R,8.0,A,,R,0.0,R,12.0,R,5.0,R,7.0,A,,R,0.0,R,12.0,R,5.0,R,7.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,6.0,R,50.0,A,,A,,A,,A,,A,,A,,R,13.0,R,18.0,R,22.0,R,10.0,R,17.0,R,23.0,R,14.0,R,17.0,R,20.0
157058,1,5,1,1,3,3,5,1,3,3,3,3,R,2001,R,718,R,1283,S,,S,,R,1852.0,R,652.0,R,1200.0,S,,S,,R,345.0,R,143.0,R,202.0,S,,S,,R,317.0,R,129.0,R,188.0,S,,S,,R,28.0,R,14.0,R,14.0,S,,S,,R,36.0,R,10.0,R,145.0,R,42.0,R,420.0,R,460.0,R,500.0,R,400.0,R,450.0,R,510.0,R,14.0,R,16.0,R,20.0,R,12.0,R,15.0,R,20.0,R,15.0,R,16.0,R,18.0
157076,1,5,1,3,3,3,5,1,3,3,3,3,R,2009,R,1105,R,901,S,,S,,R,1346.0,R,708.0,R,637.0,S,,S,,R,243.0,R,126.0,R,116.0,S,,S,,R,243.0,R,126.0,R,116.0,S,,S,,R,0.0,R,0.0,R,0.0,S,,S,,R,37.0,R,15.0,R,162.0,R,67.0,R,430.0,R,490.0,R,550.0,R,320.0,R,520.0,R,580.0,R,12.0,R,20.0,R,24.0,R,9.0,R,20.0,R,24.0,R,11.0,R,20.0,R,24.0
157085,1,3,1,1,3,3,5,1,3,3,1,3,R,28233,R,11628,R,16352,S,,S,,R,26083.0,R,10580.0,R,15273.0,S,,S,,R,6437.0,R,2617.0,R,3783.0,S,,S,,R,6360.0,R,2578.0,R,3746.0,S,,S,,R,77.0,R,39.0,R,37.0,S,,S,,R,556.0,R,9.0,R,3532.0,R,55.0,R,550.0,R,590.0,R,640.0,R,530.0,R,580.0,R,650.0,R,21.0,R,25.0,R,28.0,R,21.0,R,24.0,R,29.0,R,20.0,R,24.0,R,27.0
157100,1,3,1,3,1,3,5,1,5,5,5,5,R,747,R,550,R,196,A,,R,1.0,R,466.0,R,322.0,R,143.0,A,,R,1.0,R,166.0,R,117.0,R,49.0,A,,R,0.0,R,164.0,R,116.0,R,48.0,A,,R,0.0,R,2.0,R,1.0,R,1.0,A,,R,0.0,R,7.0,R,4.0,R,80.0,R,48.0,R,450.0,R,490.0,R,510.0,R,450.0,R,480.0,R,530.0,R,18.0,R,20.0,R,23.0,R,16.0,R,21.0,R,23.0,R,16.0,R,18.0,R,22.0
157289,1,5,1,1,5,5,5,1,5,5,5,3,R,14821,R,6174,R,8647,A,,R,0.0,R,11937.0,R,4979.0,R,6958.0,A,,R,0.0,R,3117.0,R,1359.0,R,1758.0,A,,R,0.0,R,2917.0,R,1259.0,R,1658.0,A,,R,0.0,R,200.0,R,100.0,R,100.0,A,,R,0.0,R,478.0,R,15.0,R,2736.0,R,88.0,R,510.0,R,570.0,R,630.0,R,510.0,R,560.0,R,620.0,R,19.0,R,23.0,R,27.0,R,19.0,R,23.0,R,28.0,R,17.0,R,22.0,R,26.0
